protocol_version,polarization_type,dimension_g,coordinate_dimension,radius,method,budget,best_ell_squared,best_query,best_coordinates,best_achieved_rms_distance,best_boundary_fraction,best_class_multiplicity,best_lift_multiplicity,best_kernel_distance_spectrum,maximum_distance_overrun,all_certified
phase10-v1-blind-bounded-global-moduli-search,"[1, 1, 2]",3,12,0.5,bayesian_ucb,96,0.5918101448340599,63,"[-0.088111763293151, -0.10817611232491857, 0.027015238827971775, -0.12145514706345129, -0.023515944159001587, -0.11567675109146738, -0.004623390473085084, -0.27855035427319275, 0.11633102303902353, -0.021928568047087562, -0.02176152714743813, 0.41413873118690936]",0.4564288463818834,0.9128576927637668,1,2,"[0.5918101448340599, 0.596961790211768, 0.6296814760420508]",0.0,False
phase10-v1-blind-bounded-global-moduli-search,"[1, 1, 2]",3,12,1.0,sobol,96,0.7852974740297404,51,"[-0.038091577491350746, -0.5713389453504553, 0.6022346918688082, -0.2903972903008115, -0.04026805584836774, -0.5738847596151054, 0.1264951576565995, -0.12873400824598782, 0.07818757848807321, 0.3086364443347656, -0.06069740389757996, 0.49831708785801543]",0.997265902213613,0.997265902213613,1,2,"[0.7852974740297404, 0.8260634976112908, 0.920581217415168]",0.0,False
phase10-v1-blind-bounded-global-moduli-search,"[1, 1, 2]",3,12,1.0,cma_es,96,0.8341217791518132,79,"[0.05084114458442, 0.3957657028799833, 0.6777289298248972, 0.25803417604908996, -0.02487473874146184, -0.23501623832491544, 0.13745270115103306, 0.004945047959093962, -0.15881856969181476, 0.7578440625139341, -0.0068796188651971055, -0.37485887255223815]",1.0000000000000002,1.0000000000000002,1,2,"[0.8341217791518132, 0.9030826458518296, 1.0290955718271602]",1.7763568394002505e-15,False
phase10-v1-blind-bounded-global-moduli-search,"[1, 1, 2]",3,12,1.0,bayesian_ucb,96,0.7991381444186929,90,"[0.1640442909138249, -0.35742513113860014, 0.8990455325566339, 0.11035464130024912, -0.4612373178786409, 0.26561861892662414, -0.09035746681577207, -0.0650927586839895, -0.02452170580923971, -0.3440423846911624, -0.07056344022334296, 0.21555167222536029]",0.9802132837293844,0.9802132837293844,1,2,"[0.7991381444186929, 0.8358999564982877, 0.9934578801477512]",0.0,False
phase10-v1-blind-bounded-global-moduli-search,"[1, 1, 2]",3,12,1.5,sobol,96,0.8660326740015869,88,"[-0.11579205877767759, 0.7457805286682757, -0.37463290605450733, 0.4277788411086493, 0.3493967432669696, -0.44398228398243333, 0.2731095058814179, -0.6271443069174487, -0.04537668525197519, -1.2417704360736788, -0.021987017537701083, -0.27589347332245423]",1.4833951109187755,0.9889300739458503,1,2,"[0.8660326740015869, 0.9281604634535503, 0.988269850213879]",0.0,False
phase10-v1-blind-bounded-global-moduli-search,"[1, 1, 2]",3,12,1.5,cma_es,96,0.8690622455203525,29,"[0.3438120479078218, -0.9258775748112892, -0.13052647501085907, 0.242026604527871, 0.16191358557390456, 0.43466829031993126, -0.10217612388936706, -1.2214835321579145, 0.6017855888882488, -0.3110504678861938, 0.05445312238239445, -0.3800684302397066]",1.4999999999999996,0.9999999999999997,1,2,"[0.8690622455203525, 1.0321947924998773, 1.0370582543851434]",2.886579864025407e-15,False
phase10-v1-blind-bounded-global-moduli-search,"[1, 1, 2]",3,12,1.5,bayesian_ucb,96,0.8274840789288056,82,"[0.30091424777782916, -0.6123875105119251, -0.4058703189117731, -0.22712625146702012, 0.21196493014192416, -0.008219260605014387, -0.2526006216638238, -1.0667888912551347, 0.6803234049064261, 0.4162107618056165, -0.06411409085737275, -0.3423715726451731]",1.3381896830567401,0.8921264553711601,1,2,"[0.8274840789288056, 0.8442252660895754, 0.9256692204389558]",0.0,False
phase10-v1-blind-bounded-global-moduli-search,"[1, 1, 3]",3,12,0.25,sobol,96,0.3431878362885943,85,"[-0.015615295677336508, -0.07895436290583432, 0.04984736617118455, 0.05419223384755178, 0.14173516202054112, -0.12741653702844244, -0.04753861310786116, 0.05895857877939497, -0.009187270197909157, -0.02687361207524843, -0.005841743082588295, 0.16312954517237646]",0.23296784076178548,0.9318713630471419,2,2,"[0.3431878362885943, 0.3431878362885943, 0.34915059835531165, 0.34915059835531165, 0.5356315699472235, 0.5356315699472235, 0.8490452993405884, 0.8490452993405884]",0.0,False
phase10-v1-blind-bounded-global-moduli-search,"[1, 1, 3]",3,12,0.25,cma_es,96,0.35169249126552404,38,"[0.12194877428482295, -0.04783216686497809, -0.017128184656214566, 0.04205505326311561, 0.09969708612056488, 0.013267514453370703, -0.013667463416295742, -0.029865992482902143, -0.029966112234289754, -0.07515076903625992, 0.0040841612127343685, -0.23826871117066983]",0.24999999999999972,0.9999999999999989,2,2,"[0.35169249126552404, 0.35169249126552404, 0.35561749168301304, 0.35561749168301304, 0.4777734532339648, 0.4777734532339648, 0.9368465126631094, 0.9368465126631094]",8.881784197001252e-16,False
phase10-v1-blind-bounded-global-moduli-search,"[1, 1, 3]",3,12,0.25,bayesian_ucb,96,0.35307398106338234,61,"[-0.06597092310181538, -0.028878576924543965, -0.08728091821518537, -0.030506321023228748, -0.06309638559679628, -0.027888729476763966, -0.06308126989167859, -0.07941828282452845, 0.025548065097072747, 0.0919895532523353, 0.0015002989801896811, 0.22101076702344913]",0.24047587009537824,0.961903480381513,2,2,"[0.35307398106338234, 0.35307398106338234, 0.3544107981445225, 0.3544107981445225, 0.4937635166980773, 0.4937635166980773, 0.9212060417177323, 0.9212060417177323]",0.0,False
